t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
35,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
36,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
50,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
61,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
132,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
133,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
151,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
152,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
187,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
190,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
333,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
334,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
353,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
355,game,3,,,0,1,,,0,2,,66.44,0,right,66.44,ok,0,0,2,1,2,1,1,10,150
395,game,3,,,0,1,,,0,2,,,0,,,ok,1,0,2,1,,,1,10,150
396,game,3,,,0,1,,,0,2,,,0,,,ok,1,0,2,1,,,1,10,150
414,game,3,,,0,1,,,0,2,,,0,,,ok,1,0,2,1,,,1,10,150
416,game,3,,,0,1,,,0,2,,,0,,,ok,1,1,2,1,,,1,10,150
541,game,3,,,0,1,,,0,2,,,0,,,ok,1,2,2,1,,,1,10,150
543,game,3,,,0,1,,,0,2,,,0,,,ok,1,2,2,1,,,1,10,150
558,game,3,,,0,1,,,0,2,,,0,,,ok,1,2,2,1,,,1,10,150
565,game,3,,,0,1,,,0,2,,,0,,,ok,1,3,2,1,,,1,10,150
644,game,3,,,0,1,,,0,2,,,0,,,ok,1,4,2,1,,,1,10,150
645,game,3,,,0,1,,,0,2,,,0,,,ok,1,4,2,1,,,1,10,150
659,game,3,,,0,1,,,0,2,,,0,,,ok,1,4,2,1,,,1,10,150
672,game,3,,,0,1,,,0,2,,,0,,,ok,1,5,2,1,,,1,10,150
673,game,3,,,0,1,,,0,2,,,0,,,ok,1,5,2,1,,,1,10,150
749,game,3,,,0,1,,,0,2,,,0,,,ok,1,6,2,1,,,1,10,150
749,game,3,,,0,1,,,0,2,,,0,,,ok,1,6,2,1,,,1,10,150
849,game,3,,,0,1,,,0,2,,,0,,,ok,1,7,2,1,,,1,10,150
850,game,3,,,0,1,,,0,2,,,0,,,ok,1,7,2,1,,,1,10,150
871,game,3,,,0,1,,,0,2,,,0,,,ok,1,8,2,1,,,1,10,150
872,game,3,,,0,1,,,0,2,,,0,,,ok,1,9,2,1,,,1,10,150
872,game,3,,,0,1,,,0,2,,,0,,,ok,1,9,2,1,,,1,10,150
949,game,3,,,0,1,,,0,2,,,0,,,ok,1,10,2,1,,,1,10,150
962,game,3,,,0,1,,,0,2,,,0,,,ok,1,11,2,1,,,1,10,150
963,game,3,,,0,1,,,0,2,,,0,,,ok,1,11,2,1,,,1,10,150
988,game,3,,,0,1,,,0,2,,,0,,,ok,1,11,2,1,,,1,10,150
989,game,3,,,0,1,,,0,2,,,0,,,ok,1,12,2,1,,,1,10,150
1053,game,3,,,0,1,,,0,2,,,0,,,ok,1,13,2,1,,,1,10,150
1054,game,3,,,0,1,,,0,2,,,0,,,ok,1,13,2,1,,,1,10,150
1074,game,3,,,0,1,,,0,2,,,0,,,ok,1,13,2,1,,,1,10,150
1158,game,3,,,0,1,,,0,2,,,0,,,ok,1,14,2,1,,,1,10,150
1160,game,3,,,0,1,,,0,2,,,0,,,ok,1,15,2,1,,,1,10,150
1161,game,3,,,0,1,,,0,2,,,0,,,ok,1,15,2,1,,,1,10,150
1184,game,3,,,0,1,,,0,2,,,0,,,ok,1,15,2,1,,,1,10,150
1259,game,3,,,0,1,,,0,2,,,0,,,ok,1,16,2,1,,,1,10,150
1259,game,3,,,0,1,,,0,2,,,0,,,ok,1,16,2,1,,,1,10,150
1282,game,3,,,0,1,,,0,2,,,0,,,ok,1,16,2,1,,,1,10,150
1360,game,3,,,0,1,,,0,2,,,0,,,ok,1,17,2,1,,,1,10,150
1371,game,3,,,0,1,,,0,2,,,0,,,ok,1,18,2,1,,,1,10,150
1372,game,3,,,0,1,,,0,2,,,0,,,ok,1,18,2,1,,,1,10,150
1390,game,3,,,0,1,,,0,2,,,0,,,ok,1,19,2,1,,,1,10,150
1421,game,3,,,0,1,,,0,2,,,0,,,ok,1,20,2,1,,,1,10,150
1422,game,3,,,0,1,,,0,2,,,0,,,ok,1,20,2,1,,,1,10,150
1595,game,3,,,0,1,,,0,2,,,0,,,ok,1,21,2,1,,,1,10,150
1622,game,3,,,0,1,,,0,2,,,0,,,ok,1,22,2,1,,,1,10,150
1623,game,3,,,0,1,,,0,2,,,0,,,ok,1,22,2,1,,,1,10,150
1644,game,3,,,0,1,,,0,2,,,0,,,ok,1,23,2,1,,,1,10,150
1645,game,3,,,0,1,,,0,2,,,0,,,ok,1,23,2,1,,,1,10,150
1658,game,3,,,0,1,,,0,2,,,0,,,ok,1,23,2,1,,,1,10,150
1667,game,3,,,0,1,,,0,2,,,0,,,ok,1,24,2,1,,,1,10,150
1670,game,3,,,0,1,,,0,2,,,0,,,ok,1,25,2,1,,,1,10,150
1671,game,3,,,0,1,,,0,2,,,0,,,ok,1,25,2,1,,,1,10,150
1693,game,3,,,0,1,,,0,2,,,0,,,ok,1,25,2,1,,,1,10,150
1770,game,3,,,0,1,,,0,2,,,0,,,ok,1,26,2,1,,,1,10,150
1771,game,3,,,0,1,,,0,2,,,0,,,ok,1,27,2,1,,,1,10,150
1772,game,3,,,0,1,,,0,2,,,0,,,ok,1,27,2,1,,,1,10,150
1874,game,3,,,0,1,254.04,,0,2,,,0,,,ok,1,28,2,1,,,1,10,150
1875,game,3,,,0,1,254.04,,0,2,,,0,,,ok,1,28,2,1,,,1,10,150
